time,open,high,low,close,volume
2024-06-04,22.22,22.22,21.88,22.09,4078375
2024-06-05,22.18,22.18,21.53,22.05,7698406
2024-06-06,22.05,22.95,21.92,22.35,6045733
2024-06-07,22.48,22.77,22.18,22.39,2027622
2024-06-10,22.52,22.73,22.3,22.48,3630481
2024-06-11,22.69,22.69,22.0,22.0,5283289
2024-06-12,22.0,22.65,21.75,22.35,5443422
2024-06-13,22.43,22.77,22.35,22.77,3199775
2024-06-14,22.95,23.85,22.82,23.55,8198669
2024-06-17,23.63,23.63,23.03,23.29,4135823
2024-06-18,23.29,23.37,22.86,23.2,3418319
2024-06-19,23.2,23.25,22.77,23.16,4029852
2024-06-20,23.2,23.8,23.07,23.16,2616077
2024-06-21,23.46,24.66,23.2,24.66,12565740
2024-06-24,25.0,25.09,23.55,24.19,6145650
2024-06-25,23.97,24.66,23.89,24.27,3510889
2024-06-26,24.27,24.87,24.23,24.62,4505475
2024-06-27,24.62,24.83,23.8,24.53,2532948
2024-06-28,24.49,24.66,23.55,24.14,3932492
2024-07-01,24.14,24.14,23.63,23.89,3136876
2024-07-02,24.4,25.43,23.93,25.34,6736573
2024-07-03,25.6,25.9,25.47,25.86,7643426
2024-07-04,25.94,26.84,25.6,26.84,4610094
2024-07-05,26.84,28.25,26.5,27.57,10877287
2024-07-08,27.74,28.08,27.23,27.61,6037319
2024-07-09,27.57,27.83,27.1,27.36,5548958
2024-07-10,27.36,27.36,26.71,26.71,3948294
2024-07-11,26.71,27.23,26.29,26.76,3435379
2024-07-12,26.88,27.14,26.46,26.76,4556704
2024-07-15,27.06,27.18,26.54,26.88,1693665
2024-07-16,27.14,27.36,26.71,27.06,2869905
2024-07-17,27.06,27.4,26.29,27.4,7467723
2024-07-18,27.4,27.4,26.8,27.31,1623877
2024-07-19,27.4,28.25,27.36,27.57,4691088
2024-07-22,27.23,27.74,26.24,27.18,9171486
2024-07-23,27.23,27.66,26.67,27.18,6706753
2024-07-24,26.97,27.18,26.54,26.71,4344764
2024-07-25,26.63,26.76,26.03,26.03,3164679
2024-07-26,25.94,25.94,24.79,25.17,14361256
2024-07-29,25.0,25.69,25.0,25.51,1262908
2024-07-30,25.6,25.64,24.96,25.26,1528370
2024-07-31,25.26,25.26,24.92,24.96,2691822
2024-08-01,25.09,25.43,24.32,24.83,3878365
2024-08-02,24.49,24.83,24.1,24.4,3047572
2024-08-05,24.79,24.79,22.73,23.2,5594213
2024-08-06,23.37,24.1,23.29,23.85,3568253
2024-08-07,24.02,24.53,24.02,24.19,1910803
2024-08-08,24.1,24.32,24.06,24.27,2608360
2024-08-09,24.66,24.66,24.19,24.32,3077036
2024-08-12,24.49,24.66,24.23,24.49,1728293
2024-08-13,24.57,25.09,24.44,24.66,2487697
2024-08-14,24.83,25.0,24.49,24.66,2103192
2024-08-15,24.74,25.17,24.57,25.17,4395130
2024-08-16,25.3,26.41,25.3,26.41,3149536
2024-08-19,26.5,27.23,26.5,26.97,3905442
2024-08-20,27.06,27.18,26.71,26.71,3479055
